title,link,schedule,location_name,address,tag,description
New Choices Career Development Classes,https://www.pghcitypaper.com/pittsburgh/new-choices-career-development-classes/Event?oid=6561387,"Mondays-Fridays, 9:30 a.m.-12:30 p.m.",Pennsylvania Women Work,"650 Smithfield Street, Suite 520, Pittsburgh
Downtown",Other Stuff,"New Choices is a FREE, comprehensive career program, where you'll learn job search and interview skills, goal-setting, and the confidence to succeed. You’ll update your resume, refresh your computer skills, and learn conflict resolution, budgeting, and time management – plus individualized career coaching and job search assistance. Day/evening classes available starting soon Downtown, or at extended sites throughout Pittsburgh. Whether you're starting out or re-entering the workforce, our 20 years of expertise will make you a stronger candidate. New Choices has helped over 55,000 people find living-wage jobs and build lasting careers! Call to register or for more information! 412-742-4362"
Tai Chi at Thrive on Health,https://www.pghcitypaper.com/pittsburgh/tai-chi-at-thrive-on-health/Event?oid=16651630,"Saturdays, 10-11:15 a.m. and Tuesdays, 7-8:15 p.m.",Thrive on Health,"730 Brookline Boulevard, PIttsburgh
Brookline",Sports,"Thrive on Health presents Tai Chi with nationally ranked practitioner, Christopher Johns. Come and practice time-tested skills and philosophies for internal and external harmony and self-defense. Learn how to approach challenges calmly, rationally, and with total self-assurance, and and find out why these are the keys to true strength and health. (412) 714-6620"
Puzzling Adventures Scavenger Hunt,https://www.pghcitypaper.com/pittsburgh/puzzling-adventures-scavenger-hunt/Event?oid=26656872,"Ongoing, 10 a.m.-8 p.m.",Puzzling Adventures Start & Finish Location,"629 Smithfield St, Pittsburgh
Downtown",Games,"Consistently rated the best local scavenger hunt since 2016! Puzzling Adventures are a cross between a scavenger hunt, an adventure race, and an informative self-guided walking tour. Each adventure consists of a series of locations that you are guided to where you are required to answer a question or solve a puzzle to receive your next instruction. Compete as a group, individually or create multiple teams and race each other. Enter the code EVENTPASS on the payment page for a $10 discount! 8884338966"
,,,,,,
Lunch Break Yoga,https://www.pghcitypaper.com/pittsburgh/lunch-break-yoga/Event?oid=23464539,"Tuesdays, Thursdays, 12-12:50 p.m.",Crossbody Dance and Movement,"422 Wood Street, PITTSBURGH
Downtown",Exercise,Join us for Lunch Break Yoga at Crossbody Dance and Movement. Drop in rate is $12 4122590336
Spellbound Escape Room,https://www.pghcitypaper.com/pittsburgh/spellbound-escape-room/Event?oid=14844936,"Ongoing, 12-9 p.m.",60 Minute Missions Escape Room,"116 E Pittsburgh Street, Lower Level, Greensburg
Greensburg",Games,"Becoming a wizard isn’t easy. You’ve traveled to the magic school and taken the admissions exam, but didn’t pass. As a result, a horrible curse has been placed on you to ensure you don’t attempt further magic as a muggle. Your train ride home has been summoned, but the door to the wizarding world is within reach. Can you reverse the curse and prove that you have the skills to join the wizarding school before your ride home arrives? 724-383-6066"
A Soto Zen Buddhist Sitting Group,https://www.pghcitypaper.com/pittsburgh/a-soto-zen-buddhist-sitting-group/Event?oid=1648925,"Tuesdays, Thursdays",Church of the Redeemer,"5700 Forbes Ave., Pittsburgh
Squirrel Hill",Other Stuff,http://citydharma.wordpress.com/schedule/ 412-965-9903
Guided Meditation,https://www.pghcitypaper.com/pittsburgh/guided-meditation/Event?oid=16784570,Tuesdays,Thrive on Health,"730 Brookline Boulevard, PIttsburgh
Brookline",Community,"Meditation is such a helpful practice for your overall health, but it can be slightly daunting to find the right modality that works for you. Join us for a weekly hour of mindfulness in a group setting. Chey of Smoky Quartz Magick & Divination will lead the meditations, which will vary weekly depending on the needs of the group as well as the challenges of the time frame according to the astrological forecast. They will assist by walking you through different styles, breathing techniques, mudras, and other methods to be able to craft a meditation routine that works for you. 412-714-6620"
Permanent collection of European Art,https://www.pghcitypaper.com/pittsburgh/permanent-collection-of-european-art/Event?oid=1426288,Tuesdays-Sundays,The Frick Pittsburgh,"7227 Reynolds Street, Pittsburgh
Point Breeze",Visual Art,412-371-0600
Collectors,https://www.pghcitypaper.com/pittsburgh/collectors/Event?oid=1442597,Mondays-Fridays,Bost Building,"621-623 E. Eighth Ave., Homestead
Homestead",Exhibits,Preserved materials reflecting the industrial heritage of Southwestern PA. 412-464-4020
,,,,,,
Permanent collection,https://www.pghcitypaper.com/pittsburgh/permanent-collection/Event?oid=1426367,,Andy Warhol Museum,"117 Sandusky Street, Pittsburgh
North Side",Visual Art,Artwork & artifacts by the famed Pop Artist. 412-237-8300
Sewickley Heights History Center,https://www.pghcitypaper.com/pittsburgh/sewickley-heights-history-center/Event?oid=1426496,Tuesdays-Sundays,Sewickley Heights History Center,"1901 Glen Mitchell Road, Sewickley
Sewickley",Exhibits,"Museum commemorates Pittsburgh industrialists, local history. 412-741-4487"
"What They Say, What They Said",https://www.pghcitypaper.com/pittsburgh/what-they-say-what-they-said/Event?oid=1920000,Tuesdays-Sundays,Andy Warhol Museum,"117 Sandusky Street, Pittsburgh
North Side",Visual Art,"A collaboration between The Andy Warhol Museum, BOOM Concepts & Artists Image Resource (AIR). D.S. Kinsel’s mural is the project’s introductory iteration of prints installed on the Rosa Villa, a shuttered building across the street from The Warhol. 412-237-8300"
Soldiers & Sailors Memorial Hall,https://www.pghcitypaper.com/pittsburgh/soldiers-and-sailors-memorial-hall/Event?oid=1426497,Mondays-Saturdays,Soldiers & Sailors Memorial Hall,"4141 Fifth Ave., Pittsburgh
Oakland",Exhibits,Military museum dedicated to honoring military service members since the Civil War through artifacts & personal mementos. 412-621-4253
Twilight Wish Foundation,https://www.pghcitypaper.com/pittsburgh/twilight-wish-foundation/Event?oid=1431377,Ongoing,,,Volunteers,Helping w/ special events. 1-877-839-9474
Pittsburgh Ski Club,https://www.pghcitypaper.com/pittsburgh/pittsburgh-ski-club/Event?oid=1426460,,,,Outside,Year-round activities. 412-281-SKIS
Gateway Health Hospice,https://www.pghcitypaper.com/pittsburgh/gateway-health-hospice/Event?oid=1426405,,,,Volunteers,Work with patients & their families. Training provided. 412-536-2020
"Southwinds, Inc.",https://www.pghcitypaper.com/pittsburgh/southwinds-inc/Event?oid=1429498,Ongoing,,,Volunteers,Non-profit agency which provides quality residential care and life skills training for adults with developmental challenges throughout Allegheny County. 724-941-7600 x36
Voices for Animals of Western PA,https://www.pghcitypaper.com/pittsburgh/voices-for-animals-of-western-pa/Event?oid=1426440,,,,Volunteers,"Animal advocacy, rescue and adoption and environmental work. 877-321-4VFA"
St. Anthony's Chapel,https://www.pghcitypaper.com/pittsburgh/st-anthonys-chapel/Event?oid=1426539,Ongoing,St. Anthony's Chapel,"1700 Harpster Street, Pittsburgh
North Side",Exhibits,"Features 5,000 relics of Catholic saints. 412-323-9504"
Riding for the Handicapped,https://www.pghcitypaper.com/pittsburgh/riding-for-the-handicapped/Event?oid=1426431,,,,Volunteers,Seeking staff for the Therapeutic Riding Program. Knowledge of horses is not necessary. 412-364-9444
Independent Film Night,https://www.pghcitypaper.com/pittsburgh/independent-film-night/Event?oid=1440439,Ongoing,DV8 Espresso Bar & Gallery,"208 S. Pennsylvania Ave., Greensburg
Greensburg",Submissions,"Submit your film, 10 minutes or less. Screenings held on the second Thursday of every month. 724-219-0804"
National Aviary,https://www.pghcitypaper.com/pittsburgh/national-aviary/Event?oid=1426487,Ongoing,National Aviary,"Allegheny Commons West, Pittsburgh
North Side",Exhibits,"Home to more than 600 birds from over 200 species. W/ classes, lectures, demos & more. 412-323-7235"
Pittsburgh History & Landmarks Foundation,https://www.pghcitypaper.com/pittsburgh/pittsburgh-history-and-landmarks-foundation/Event?oid=1426424,,,,Volunteers,Training docents for children and adult tours. 412-471-5808 x527
Venture Outdoors,https://www.pghcitypaper.com/pittsburgh/venture-outdoors/Event?oid=1426466,,,,Outside,"Sponsoring a wide array of outdoor activities, including rock-climbing, nature walks, fishing, kayaking, canoeing, biking and more at various venues around the region. 412-255-0564"
Goodwill Literacy Initiative,https://www.pghcitypaper.com/pittsburgh/goodwill-literacy-initiative/Event?oid=1426409,,,,Volunteers,"Seeking tutors for math, writing & English as a Second Language. Free tutor training available. 412-390-2308"
Assemble,https://www.pghcitypaper.com/pittsburgh/assemble/Event?oid=1867768,Ongoing,Assemble,"5125 Penn Ave, Pittsburgh
Garfield",Volunteers,"Seeking volunteers for after school & Saturday programs. Come make with kids w/ science, technology & art. 412-254-4230"
Youth Outreach Union,https://www.pghcitypaper.com/pittsburgh/youth-outreach-union/Event?oid=1426445,,,,Volunteers,Young-adult survivors of mental illness needed to support their peers. (Ages 14-27.) 412-391-1430
,,,,,,
Big Brothers/Big Sisters of Greater Pittsburgh,https://www.pghcitypaper.com/pittsburgh/big-brothers-big-sisters-of-greater-pittsburgh/Event?oid=1426396,,,,Volunteers,Adults to mentor young people from single-parent and at-risk homes. 412-363-6100
Free Ride! Recycled Bike Collective,https://www.pghcitypaper.com/pittsburgh/free-ride-recycled-bike-collective/Event?oid=1430635,Ongoing,Free Ride!,"214 N. Lexington St., Pittsburgh
Homewood",Volunteers,Volunteers & bike mechanics needed to staff weekly open shop hours & assist the general public earn bicycles & repair their own. 412-254-3774
Pittsburgh Quarterly,https://www.pghcitypaper.com/pittsburgh/pittsburgh-quarterly/Event?oid=1924854,Ongoing,Pittsburgh Quartley,"1140 Fox Chapel Rd, Pittsburgh
Fox Chapel",Submissions,"Looking for new work by local poets. Please check out Robert's poem ""Home Movies"" at http://pittsburghquarterly.com/between-the-issues-items/item/1082-home-movies.html."
Senator John Heinz History Center,https://www.pghcitypaper.com/pittsburgh/senator-john-heinz-history-center/Event?oid=1427806,Ongoing,Senator John Heinz History Center,"1212 Smallman Street, Pittsburgh
Strip District",Volunteers,"Become a volunteer, tour guide, or concierge. Contact Sandra Baker. 412-454-6412"
The Neighborhood Academy,https://www.pghcitypaper.com/pittsburgh/the-neighborhood-academy/Event?oid=1426435,,,,Volunteers,Educational program for low-income students. Garfield. 412-362-2001
POWER,https://www.pghcitypaper.com/pittsburgh/power/Event?oid=1426428,,,,Volunteers,Help women recovering from alcohol and other drug addictions. Swissvale. 412-271-0500 x125
,,,,,,
The Lost Artists of the 1893 Chicago Exhibition.,https://www.pghcitypaper.com/pittsburgh/the-lost-artists-of-the-1893-chicago-exhibition/Event?oid=1679375,Ongoing,Eclectic Art & Objects Gallery,"8275 Ohio River Blvd, Pittsburgh
Emsworth",Visual Art,Collectors Showcase. 412-734-2099
Fort Pitt Museum,https://www.pghcitypaper.com/pittsburgh/fort-pitt-museum/Event?oid=1438913,Ongoing,Fort Pitt Museum,"101 Commonwealth Pl., Point State Park, Pittsburgh
Downtown",Exhibits,Reconstructed fort houses museum of Pittsburgh history circa French & Indian War & American Revolution. 412-281-9285
East End Community Thrift Shop,https://www.pghcitypaper.com/pittsburgh/east-end-community-thrift-shop/Event?oid=1426479,,,,Fundraisers,"Men's, women's & children's clothing, blankets, sheets, pillows, toys, baby equipment and household items. Garfield. 412-361-3022"
Pittsburgh Action Against Rape,https://www.pghcitypaper.com/pittsburgh/pittsburgh-action-against-rape/Event?oid=1426420,,,,Volunteers,"Daytime medical advocates, hotline work, special events and/or speakers bureau. South Side. 412-431-5665"
Pittsburgh Sports League,https://www.pghcitypaper.com/pittsburgh/pittsburgh-sports-league/Event?oid=1426461,,,,Outside,"Adult intramural leagues: volleyball, bowling, softball, tennis, basketball and more. 412-338-2133"
Gay & Lesbian Community Center,https://www.pghcitypaper.com/pittsburgh/gay-and-lesbian-community-center/Event?oid=1426406,,,,Volunteers,Staffers in all areas to help this service organization & staffers for the phone line. Squirrel Hill. 412-422-0114
,,,,,,
Pittsburgh Center for Creative Reuse,https://www.pghcitypaper.com/pittsburgh/pittsburgh-center-for-creative-reuse/Event?oid=1620436,Ongoing,Pittsburgh Center for Creative Reuse,"214 N. Lexington, Pittsburgh
Homewood",Volunteers,"Seeking volunteers who like to work independently and are interested in art, crafts, DIY, organizing. Help is needed in the shop & assisting w/ staff run programs. Apply online. 412-473-0100"
Pet Adoption League,https://www.pghcitypaper.com/pittsburgh/pet-adoption-league/Event?oid=1429723,Ongoing,,,Volunteers,"Westmoreland County no-kill shelter with many puppy mill rescues seeking foster homes and volunteers for all aspects of shelter operation: dog walking, cat cuddling, fund raising, etc. Yukon, PA. 724-953-9050"
Washington County Literacy Council,https://www.pghcitypaper.com/pittsburgh/washington-county-literacy-council/Event?oid=1426441,,,,Volunteers,Tutor training sessions offered. 724-228-6188
Senator John Heinz History Center,https://www.pghcitypaper.com/pittsburgh/senator-john-heinz-history-center/Event?oid=1426546,Ongoing,Senator John Heinz History Center,"1212 Smallman Street, Pittsburgh
Strip District",Exhibits,"Ongoing: Western PA Sports Museum, Clash of Empires, & exhibits on local history, more. 412-454-6000"
South Hills Interfaith Ministries,https://www.pghcitypaper.com/pittsburgh/south-hills-interfaith-ministries/Event?oid=1426432,,,,Volunteers,Tutors needed for after-school homework club. And preschool assistants. 412-854-9120
Nationality Rooms,https://www.pghcitypaper.com/pittsburgh/nationality-rooms/Event?oid=1426488,Ongoing,Nationality Rooms,"4200 5th Avenue, Pittsburgh
Oakland",Exhibits,29 rooms helping to tell the story of Pittsburgh's immigrant past. University of Pittsburgh. 412-624-6000
Pittsburgh International Children's Theater,https://www.pghcitypaper.com/pittsburgh/pittsburgh-international-childrens-theater/Event?oid=1426425,,,,Volunteers,Volunteers needed for Oct-March city-wide Family Series shows as well as May Children's Festival. 412-321-5520
Citiparks Recreation Centers,https://www.pghcitypaper.com/pittsburgh/citiparks-recreation-centers/Event?oid=1426469,,,,Kidstuff,"Nine year-round centers in city, with programs in sports, fitness and arts. Plus individual programs and features. 412-422-6543"
Humane Society,https://www.pghcitypaper.com/pittsburgh/humane-society/Event?oid=1426415,,,,Volunteers,"Seeking dog-walkers and -trainers, cat-cuddlers, foster homes, event tables, more. North Side. 412-321-4625 x246"
YWCA Teen Services Department,https://www.pghcitypaper.com/pittsburgh/ywca-teen-services-department/Event?oid=1426446,,,,Volunteers,"Share craft, talent or profession with teens. 412-365-1933"
East End Cooperative Ministry,https://www.pghcitypaper.com/pittsburgh/east-end-cooperative-ministry/Event?oid=1426402,,,,Volunteers,"Children's tutors & mentors needed. Weekday volunteers for soup kitchen, food pantry, Meals on Wheels program. 412-361-5549 x415"
GLSEN Pittsburgh,https://www.pghcitypaper.com/pittsburgh/glsen-pittsburgh/Event?oid=1534995,Ongoing,,,Volunteers,"Help raise awareness on the importance of creating safe schools, regardless of sexual orientation or gender identity. Social media, email marketing, grant writing, advocacy, fundraising. Contact Adam Pribila at APribila@GLSENPgh.org. 412-996-2326"
Gateway Health Hospice,https://www.pghcitypaper.com/pittsburgh/gateway-health-hospice/Event?oid=1426405,,,,Volunteers,Work with patients & their families. Training provided. 412-536-2020
New Hazlett Theater,https://www.pghcitypaper.com/pittsburgh/new-hazlett-theater/Event?oid=1438324,Ongoing,New Hazlett Theater,"Allegheny Square East, Pittsburgh
North Side",Volunteers,Seeking volunteer ushers. Training & orientation is provided. 412-320-4610 x 15
POWER,https://www.pghcitypaper.com/pittsburgh/power/Event?oid=1426428,,,,Volunteers,Help women recovering from alcohol and other drug addictions. Swissvale. 412-271-0500 x125
Washington County Literacy Council,https://www.pghcitypaper.com/pittsburgh/washington-county-literacy-council/Event?oid=1426441,,,,Volunteers,Tutor training sessions offered. 724-228-6188
Assemble,https://www.pghcitypaper.com/pittsburgh/assemble/Event?oid=1867768,Ongoing,Assemble,"5125 Penn Ave, Pittsburgh
Garfield",Volunteers,"Seeking volunteers for after school & Saturday programs. Come make with kids w/ science, technology & art. 412-254-4230"
Senator John Heinz History Center,https://www.pghcitypaper.com/pittsburgh/senator-john-heinz-history-center/Event?oid=1427806,Ongoing,Senator John Heinz History Center,"1212 Smallman Street, Pittsburgh
Strip District",Volunteers,"Become a volunteer, tour guide, or concierge. Contact Sandra Baker. 412-454-6412"
,,,,,,
South Hills Interfaith Ministries,https://www.pghcitypaper.com/pittsburgh/south-hills-interfaith-ministries/Event?oid=1426432,,,,Volunteers,Tutors needed for after-school homework club. And preschool assistants. 412-854-9120
Fort Pitt Museum,https://www.pghcitypaper.com/pittsburgh/fort-pitt-museum/Event?oid=1438913,Ongoing,Fort Pitt Museum,"101 Commonwealth Pl., Point State Park, Pittsburgh
Downtown",Exhibits,Reconstructed fort houses museum of Pittsburgh history circa French & Indian War & American Revolution. 412-281-9285
Goodwill Industries Donations,https://www.pghcitypaper.com/pittsburgh/goodwill-industries-donations/Event?oid=1426480,,,,Fundraisers,"Special call for children's clothing, housewares, appliances, dishes and more. At all locations. 412-481-9005"
Pittsburgh History & Landmarks Foundation,https://www.pghcitypaper.com/pittsburgh/pittsburgh-history-and-landmarks-foundation/Event?oid=1426424,,,,Volunteers,Training docents for children and adult tours. 412-471-5808 x527
The Poet Band Company,https://www.pghcitypaper.com/pittsburgh/the-poet-band-company/Event?oid=1443609,Ongoing,,,Submissions,Seeking various types of poetry. Contact wewuvpoetry@hotmail.com
Three Rivers Lacrosse,https://www.pghcitypaper.com/pittsburgh/three-rivers-lacrosse/Event?oid=1426463,,,,Outside,"Open to boys and girls, kindergarten and up, plus men's senior and post collegiate. 412-571-2501"
,,,,,,
Goodwill Literacy Initiative,https://www.pghcitypaper.com/pittsburgh/goodwill-literacy-initiative/Event?oid=1426409,,,,Volunteers,"Seeking tutors for math, writing & English as a Second Language. Free tutor training available. 412-390-2308"
Big Brothers/Big Sisters of Greater Pittsburgh,https://www.pghcitypaper.com/pittsburgh/big-brothers-big-sisters-of-greater-pittsburgh/Event?oid=1426396,,,,Volunteers,Adults to mentor young people from single-parent and at-risk homes. 412-363-6100
GLENDA,https://www.pghcitypaper.com/pittsburgh/glenda/Event?oid=1433913,Ongoing,,,Volunteers,Seeking volunteers to promote diversity in the Pittsburgh region through community service. 412-422-1303
YWCA Teen Services Department,https://www.pghcitypaper.com/pittsburgh/ywca-teen-services-department/Event?oid=1426446,,,,Volunteers,"Share craft, talent or profession with teens. 412-365-1933"
Interfaith Volunteer Caregivers,https://www.pghcitypaper.com/pittsburgh/interfaith-volunteer-caregivers/Event?oid=1429972,Ongoing,,,Volunteers,"Seeking compassionate volunteers to assist older adults by providing rides to doctor appointments, help with grocery shopping, friendly visiting, and more! 412-345-7420"
The Thomas Merton Center,https://www.pghcitypaper.com/pittsburgh/the-thomas-merton-center/Event?oid=1426436,,,,Volunteers,"Weekly packaging of books for prisoners. Plus monthly paper The New People needs staff for bulk mailing, research, distribution, more. Garfield. 412-361-3022"
,,,,,,
Rachel Carson Homestead,https://www.pghcitypaper.com/pittsburgh/rachel-carson-homestead/Event?oid=1426429,,,,Volunteers,"Children's environmental-education programs, office duties, museum retail store, special events, gardening & outdoor projects. Springdale. 724-274-5459"
Eclectic Art & Objects Gallery,https://www.pghcitypaper.com/pittsburgh/eclectic-art-and-objects-gallery/Event?oid=1679369,Ongoing,Eclectic Art & Objects Gallery,"8275 Ohio River Blvd, Pittsburgh
Emsworth",Visual Art,19th century American & European paintings combined w/ contemporary artists & their artwork. 412-734-2099
Pittsburgh League of Young Voters,https://www.pghcitypaper.com/pittsburgh/pittsburgh-league-of-young-voters/Event?oid=1426474,,,,Volunteers,"Help with outreach at concerts, clubs and fairs. 412-728-2197"
Pittsburgh Action Against Rape,https://www.pghcitypaper.com/pittsburgh/pittsburgh-action-against-rape/Event?oid=1426420,,,,Volunteers,"Daytime medical advocates, hotline work, special events and/or speakers bureau. South Side. 412-431-5665"
Pittsburgh Parks Conservancy,https://www.pghcitypaper.com/pittsburgh/pittsburgh-parks-conservancy/Event?oid=1426459,,,,Outside,"Docent-led tour of various parks. Historical, conditioning and nature hikes. 412-682-7275"
Gay & Lesbian Community Center,https://www.pghcitypaper.com/pittsburgh/gay-and-lesbian-community-center/Event?oid=1426406,,,,Volunteers,Staffers in all areas to help this service organization & staffers for the phone line. Squirrel Hill. 412-422-0114
Independent Film Night,https://www.pghcitypaper.com/pittsburgh/independent-film-night/Event?oid=1440439,Ongoing,DV8 Espresso Bar & Gallery,"208 S. Pennsylvania Ave., Greensburg
Greensburg",Submissions,"Submit your film, 10 minutes or less. Screenings held on the second Thursday of every month. 724-219-0804"
Rebuilding Together Pittsburgh,https://www.pghcitypaper.com/pittsburgh/rebuilding-together-pittsburgh/Event?oid=1430754,Ongoing,,,Volunteers,Help low income seniors who are in need of home repairs to be safe warm & happy in their own homes. 412-922-0953
Womansplace,https://www.pghcitypaper.com/pittsburgh/womansplace/Event?oid=1426442,,,,Volunteers,Become advocates to end social violence against women. 412-678-4620 x205
United Steelworkers’ Activist Corps,https://www.pghcitypaper.com/pittsburgh/united-steelworkers-activist-corps/Event?oid=1428662,Ongoing,,,Volunteers,"Looking for Political Activist Volunteers for member mobilization, communication, and strategic political actions. Free t-shirts, food. Downtown. 412-562-2475"
Sweetwater Art Center,https://www.pghcitypaper.com/pittsburgh/sweetwater-art-center/Event?oid=1426433,,,,Volunteers,To help with event preparations. Sewickley. 412-741-4405
Pittsburgh Center for Creative Reuse,https://www.pghcitypaper.com/pittsburgh/pittsburgh-center-for-creative-reuse/Event?oid=1620436,Ongoing,Pittsburgh Center for Creative Reuse,"214 N. Lexington, Pittsburgh
Homewood",Volunteers,"Seeking volunteers who like to work independently and are interested in art, crafts, DIY, organizing. Help is needed in the shop & assisting w/ staff run programs. Apply online. 412-473-0100"
National Aviary,https://www.pghcitypaper.com/pittsburgh/national-aviary/Event?oid=1426487,Ongoing,National Aviary,"Allegheny Commons West, Pittsburgh
North Side",Exhibits,"Home to more than 600 birds from over 200 species. W/ classes, lectures, demos & more. 412-323-7235"
Pittsburgh International Children's Theater,https://www.pghcitypaper.com/pittsburgh/pittsburgh-international-childrens-theater/Event?oid=1426425,,,,Volunteers,Volunteers needed for Oct-March city-wide Family Series shows as well as May Children's Festival. 412-321-5520
The Pittsburgh Tote Bag Project,https://www.pghcitypaper.com/pittsburgh/the-pittsburgh-tote-bag-project/Event?oid=1511148,Ongoing,,,Volunteers,Seeking volunteers to staff tables at events throughout the spring & summer. Orientation held at the Squirrel Hill & Northside Crazy Mocha twice a month. http://tote4pgh.com/ 412-228-0216
Steel on Ice,https://www.pghcitypaper.com/pittsburgh/steel-on-ice/Event?oid=1426464,,,,Outside,African-American ski club with year-round activities. 412-339-0585
Humane Society,https://www.pghcitypaper.com/pittsburgh/humane-society/Event?oid=1426415,,,,Volunteers,"Seeking dog-walkers and -trainers, cat-cuddlers, foster homes, event tables, more. North Side. 412-321-4625 x246"
East End Cooperative Ministry,https://www.pghcitypaper.com/pittsburgh/east-end-cooperative-ministry/Event?oid=1426402,,,,Volunteers,"Children's tutors & mentors needed. Weekday volunteers for soup kitchen, food pantry, Meals on Wheels program. 412-361-5549 x415"
,,,,,,
St. Anthony's Chapel,https://www.pghcitypaper.com/pittsburgh/st-anthonys-chapel/Event?oid=1426539,Ongoing,St. Anthony's Chapel,"1700 Harpster Street, Pittsburgh
North Side",Exhibits,"Features 5,000 relics of Catholic saints. 412-323-9504"
